,bed,bath,sqft,price,lat,long
2907,3,2.0,2241,897000,33.84497357142857,-118.09969587755101
2908,3,3.0,1955,899000,34.08008555651953,-118.211782900082
2909,5,4.0,2931,898000,34.056804,-117.894454
2910,4,4.0,2929,899000,34.06373531830641,-117.88932059229035
2911,3,2.0,1287,965000,34.0405068399354,-118.36616787976182
2912,3,2.0,1778,949000,34.16023635,-118.10276435344838
2913,4,2.0,1909,949000,33.76045085,-118.31552199843267
2914,3,2.0,1620,929900,34.1890531,-118.1336299
2915,3,2.0,1924,899900,34.13857882416876,-117.87083439449492
2916,4,3.0,2140,898000,33.989275381414316,-117.95799934041986
2917,3,2.1,3041,949900,33.95788311352303,-118.32000244449083
2918,4,3.1,2300,925000,34.20922934513693,-118.62522350377506
2921,3,1.0,1409,968000,34.046545081081085,-118.27697035135135
2922,2,2.0,1628,995000,34.138059687250895,-118.45953840424936
2923,3,2.1,1223,999999,34.113639453125,-118.263726390625
2924,3,2.0,1898,895000,34.200058565334636,-118.64572334171125
2925,3,2.0,1424,988888,34.169150583325646,-118.20664015104896
2927,3,2.0,2325,944900,33.8221733,-118.32671249362903
2928,4,2.1,2370,985000,33.826957529411764,-118.32937547058823
2929,3,2.0,1528,939900,33.761458399999995,-118.31345635
2931,4,3.0,3176,999900,34.25444180645161,-118.54910925806452
2932,6,4.1,3793,968000,33.99147077127492,-117.87855874926342
2934,3,2.0,1052,995000,34.142147449999996,-118.11224522634146
2936,4,5.0,3343,995000,34.2708686,-118.3157495
2937,4,3.0,2273,919000,34.27008576875243,-118.58506571473244
2938,4,4.0,2468,949900,34.230487129032255,-118.42558435483872
2939,4,2.0,1592,979900,33.812558515151515,-118.09631833333333
2940,6,4.0,2600,925000,34.19565644897959,-118.4542756734694
2941,4,4.0,3244,958000,34.1466649,-117.8925249
2942,3,3.0,1500,949999,34.113642,-118.19578590909092
2943,4,3.0,2577,928000,33.9949437150708,-117.82807153011379
2944,2,1.0,1268,990000,34.16205097959183,-118.45324946938776
2946,3,2.0,1156,975000,33.76123444827854,-118.13391136768942
2947,4,1.0,1728,900000,34.185750303030304,-118.45417509090909
2948,3,2.0,1638,899000,34.0682794,-118.0833036
2949,4,3.0,3570,899000,34.2522817,-118.5930557
2950,4,3.0,2125,980000,34.152745,-118.740115
2951,3,2.0,1530,995000,34.12218123851742,-118.17098419115852
2952,4,2.0,1578,925000,34.1566855,-118.389977
2953,6,3.1,2821,950000,34.2590508,-118.6037791
2955,3,2.1,2784,910000,34.2744158367347,-118.51674085714285
2956,3,2.0,1924,898800,34.2243143,-118.2357962
2957,4,3.0,2436,959900,34.15282211072062,-118.76116505201365
2958,5,3.0,3126,899888,33.988295,-117.913836
2959,4,3.0,2530,949900,33.81362086481978,-118.10502169059261
2960,4,2.1,1628,967833,34.1931548,-118.13350965581651
2961,4,2.1,2406,935000,33.779465521557874,-118.31255464103647
2962,3,2.1,2331,899000,33.8362066923077,-118.17692830769231
2963,3,2.0,1890,998000,34.161008515880006,-118.5281759471758
2964,3,3.0,2479,998000,34.02431356630702,-117.84093465572886
2965,4,4.0,2000,985000,34.04462751383777,-118.13368288431478
2967,2,2.0,1614,899000,34.17500042857143,-118.36582871428571
2969,5,5.1,2992,949800,34.10133454303273,-117.95734144613655
2970,4,3.0,2013,995000,33.77359372495105,-118.14339345526477
2971,2,2.0,1163,999000,34.11038892249012,-118.25450319974738
2972,3,2.0,1700,925000,34.19654045,-118.12146471715948
2973,4,3.0,2627,989000,33.9427715233587,-118.10437859502278
2974,4,3.0,2450,899950,34.2943063,-118.55002620560454
2975,3,2.1,1596,899000,34.18516963636364,-118.4295739090909
2976,5,3.0,2610,969900,34.1810221,-118.6215131
2977,4,2.0,2039,997000,34.199521,-118.317166
2978,4,2.1,1998,938000,34.09905214251092,-118.0547913472919
2979,3,2.0,1857,999950,34.1080903877551,-118.12604412244897
2980,2,1.1,1244,998000,34.17330923223341,-118.285787402049
2981,2,2.0,1200,959000,34.117034479135455,-118.37271925397175
2982,3,2.0,2260,990000,33.903618,-118.36817829514008
2983,4,3.0,2654,929900,33.95488099994777,-118.1089324098656
2984,4,4.0,3691,968000,34.1645891550799,-117.90444551163303
2985,3,3.0,1972,949000,34.19058763636364,-118.52144227272727
2987,4,3.0,3385,958000,33.982189081632654,-117.92192697959184
2988,3,2.0,1843,895000,34.08369666666667,-118.12110922222223
2989,3,2.0,2037,975000,34.113782598860624,-118.38654705113585
2990,4,3.1,2371,898000,34.078680192309534,-118.07551480926678
2991,7,4.0,3329,998000,34.013927361379906,-118.16037997968164
